Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 6,Area Sample 6,#Peptides,#Unique,#Spec Sample 6,PTM,Avg. Mass,Description
24,3167,AM_AGSSY_3509930_1,17.78,5,5,4.44E3,1,1,1,,17460,AM_AGSSY_3509930_1
24,3168,AM_AGSSY_3505069_1,17.78,5,5,4.44E3,1,1,1,,17304,AM_AGSSY_3505069_1
24,3169,AM_AGSSY_3511847_1,17.78,5,5,4.44E3,1,1,1,,17582,AM_AGSSY_3511847_1
24,3170,AM_AGSSY_3510078_1,17.78,5,5,4.44E3,1,1,1,,17385,AM_AGSSY_3510078_1
24,3171,AM_AGSSY_3480184_1,17.78,5,5,4.44E3,1,1,1,,17304,AM_AGSSY_3480184_1
7,3172,AM_AGSSY_758544_1,17.70,4,4,5.71E4,1,1,1,,40262,AM_AGSSY_758544_1
26,3175,AM_AGSSY_5783646_1,17.70,10,10,4.62E3,1,1,1,,6945,AM_AGSSY_5783646_1
26,3181,AM_AGSSY_4193094_1,17.70,5,5,4.62E3,1,1,1,,12088,AM_AGSSY_4193094_1
26,3187,AM_AGSSY_3124556_1,17.70,4,4,4.62E3,1,1,1,,18206,AM_AGSSY_3124556_1
26,3188,AM_AGSSY_3090742_1,17.70,4,4,4.62E3,1,1,1,,19730,AM_AGSSY_3090742_1
26,3193,AM_AGSSY_2491101_1,17.70,3,3,4.62E3,1,1,1,,23368,AM_AGSSY_2491101_1
10,3123,AM_AGSSY_69900_1,17.42,1,1,5.82E4,1,1,1,,77683,AM_AGSSY_69900_1
10,3176,AM_AGSSY_4479088_1,17.42,7,7,5.82E4,1,1,1,,10818,AM_AGSSY_4479088_1
10,3177,AM_AGSSY_4182595_1,17.42,6,6,5.82E4,1,1,1,,13434,AM_AGSSY_4182595_1
10,3178,AM_AGSSY_3399080_1,17.42,5,5,5.82E4,1,1,1,,17437,AM_AGSSY_3399080_1
10,3179,AM_AGSSY_3117330_1,17.42,4,4,5.82E4,1,1,1,,17927,AM_AGSSY_3117330_1
10,3182,AM_AGSSY_1261665_1,17.42,2,2,5.82E4,1,1,1,,34072,AM_AGSSY_1261665_1
10,3185,AM_AGSSY_1186037_1,17.42,2,2,5.82E4,1,1,1,,33222,AM_AGSSY_1186037_1
27,3180,AM_AGSSY_3359207_1,17.20,15,15,7.7E3,1,1,1,Carbamidomethylation; Deamidation (NQ),16596,AM_AGSSY_3359207_1
28,3184,AM_AGSSY_67343_1,17.09,1,1,2.04E3,1,1,1,,80981,AM_AGSSY_67343_1
5,3183,AM_AGSSY_1512955_1,17.05,4,4,1.27E3,1,1,1,,31461,AM_AGSSY_1512955_1
4,3192,AM_AGSSY_2033804_1,16.59,5,5,5.6E3,1,1,1,Oxidation (M),27265,AM_AGSSY_2033804_1
32,3198,AM_AGSSY_205133_1,16.11,2,2,1.21E4,1,1,1,,56320,AM_AGSSY_205133_1
34,3200,AM_AGSSY_4964575_1,15.95,14,14,7.04E3,1,1,1,,9712,AM_AGSSY_4964575_1
36,3202,AM_AGSSY_755504_1,15.86,3,3,0E0,1,1,1,,39520,AM_AGSSY_755504_1
37,3203,AM_AGSSY_5486346_1,15.68,16,16,0E0,1,1,1,Carbamidomethylation,8122,AM_AGSSY_5486346_1
40,3206,AM_AGSSY_626874_1,15.51,4,4,0E0,1,1,1,Oxidation (M); Deamidation (NQ),46005,AM_AGSSY_626874_1
6,3119,AM_AGSSY_88460_1,15.48,1,1,1.61E4,1,1,1,,77688,AM_AGSSY_88460_1
15,3208,AM_AGSSY_2735969_1,15.36,6,6,0E0,1,1,1,,19992,AM_AGSSY_2735969_1
11,3125,AM_AGSSY_1052437_1,15.07,3,3,8.96E2,1,1,1,,36528,AM_AGSSY_1052437_1
42,3210,AM_AGSSY_254535_1,15.05,4,4,1.47E4,1,1,1,Deamidation (NQ),53082,AM_AGSSY_254535_1
