Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 584-TROCAS7-109-SMPCR_50%_GF75com1,Area 584-TROCAS7-109-SMPCR_50%_GF75com1,#Peptides,#Unique,#Spec 584-TROCAS7-109-SMPCR_50%_GF75com1,PTM,Avg. Mass,Description
51,1545,GROUPS_10398160_PROKKA_302787,25.10,4,4,0E0,1,1,1,,21026,Hydroperoxy fatty acid reductase gpx1
51,1575,KNOT_3727164_PROKKA_258397,25.10,4,4,0E0,1,1,1,,20406,hypothetical protein
10,1540,KNOT_3651020_PROKKA_253264,24.82,2,2,0E0,1,1,3,Deamidation (NQ),54224,hypothetical protein
15,1543,GROUPS_8908824_PROKKA_199749,24.79,5,5,0E0,1,1,2,,17503,hypothetical protein
103,1588,GROUPS_15220866_PROKKA_663054,24.30,6,6,0E0,1,1,1,,37551,hypothetical protein
104,1619,KNOT_14151740_PROKKA_595843,24.12,6,6,1.82E5,1,1,1,,21954,hypothetical protein
12,1622,KNOT_124748_PROKKA_07878,23.98,4,4,5.19E4,1,1,3,,19017,hypothetical protein
12,1623,KNOT_21669734_PROKKA_710075,23.98,4,4,5.19E4,1,1,3,,18827,hypothetical protein
52,1599,KNOT_32870167_PROKKA_864203,23.31,6,6,2.14E5,1,1,1,,13787,Cell division protein FtsQ
52,1640,KNOT_22030077_PROKKA_719979,23.31,1,1,2.14E5,1,1,1,,80525,hypothetical protein
53,1639,KNOT_18551883_PROKKA_665451,23.16,2,2,2.08E5,1,1,1,,52989,D-alanyl-D-alanine carboxypeptidase DacB
106,1641,GROUPS_9539541_PROKKA_226214,23.09,5,5,0E0,1,1,1,Oxidation (M),21494,hypothetical protein
108,1643,KNOT_3607311_PROKKA_250272,22.87,12,12,2.06E4,1,1,1,,11928,hypothetical protein
109,1644,GROUPS_10899042_PROKKA_327400,22.86,8,8,2.21E5,1,1,1,,20634,hypothetical protein
110,1645,GROUPS_14706705_PROKKA_630619,22.56,6,6,1.31E6,1,1,1,,15027,hypothetical protein
54,1646,KNOT_128136_PROKKA_08083,22.50,2,2,0E0,1,1,1,,65623,N-substituted formamide deformylase
111,41,KNOT_12546691_PROKKA_566221,22.42,2,2,1.28E4,1,1,1,,74975,hypothetical protein
112,1647,GROUPS_893276_PROKKA_10346,22.33,10,10,2.5E5,1,1,1,,8204,hypothetical protein
112,1648,GROUPS_14045729_PROKKA_591575,22.33,6,6,2.5E5,1,1,1,,11643,hypothetical protein
112,1649,KNOT_6890649_PROKKA_386179,22.33,6,6,2.5E5,1,1,1,,13222,hypothetical protein
112,1650,GROUPS_11083052_PROKKA_342694,22.33,5,5,2.5E5,1,1,1,,15543,Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
112,1651,GROUPS_12783697_PROKKA_496296,22.33,3,3,2.5E5,1,1,1,,26235,hypothetical protein
34,1589,GROUPS_15127439_PROKKA_647121,22.25,1,1,4.07E4,1,1,1,,87925,TPR repeat-containing protein YrrB
113,1652,KNOT_32427986_PROKKA_849961,22.23,1,1,4.47E5,1,1,1,,75129,Serine/threonine-protein kinase PknB
114,1653,GROUPS_15275001_PROKKA_669573,22.02,4,4,0E0,1,1,1,,20364,hypothetical protein
114,1654,KNOT_4188028_PROKKA_287097,22.02,1,1,0E0,1,1,1,,65232,hypothetical protein
55,1655,KNOT_1293689_PROKKA_84649,21.88,5,5,0E0,1,1,1,,21240,hypothetical protein
115,1657,KNOT_4479461_PROKKA_304051,21.84,2,2,0E0,1,1,1,,35342,Copper-transporting P-type ATPase
116,1659,GROUPS_8837021_PROKKA_195284,21.71,6,6,4.45E5,1,1,1,,13199,hypothetical protein
27,1662,GROUPS_12636278_PROKKA_467748,21.53,6,6,0E0,1,1,1,Carbamidomethylation,20787,hypothetical protein
6,1681,KNOT_10310057_PROKKA_500693,21.40,2,2,1.76E5,1,1,8,,37376,GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
117,1912,KNOT_207711_PROKKA_13278,21.14,6,6,6.32E5,1,1,1,,15171,hypothetical protein
138,1986,KNOT_30923532_PROKKA_815346,21.04,1,1,4.48E4,1,1,1,,51132,hypothetical protein
60,1665,KNOT_32205743_PROKKA_844625,20.91,0,0,1.57E5,1,1,1,,218690,hypothetical protein
38,1664,GROUPS_15915354_PROKKA_700440,20.32,3,3,4.02E5,1,1,1,,39354,hypothetical protein
