Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1,Coverage (%) Sample 2,Coverage (%) Sample 3,Coverage (%) Sample 4,Coverage (%) Sample 5,Coverage (%) Sample 6,Coverage (%) Sample 7,Coverage (%) Sample 8,Coverage (%) Sample 9,Coverage (%) Sample 10,Coverage (%) Sample 11,Coverage (%) Sample 12,Coverage (%) Sample 13,Coverage (%) Sample 14,Coverage (%) Sample 15,Coverage (%) Sample 16,Coverage (%) Sample 17,Coverage (%) Sample 18,Coverage (%) Sample 19,Coverage (%) Sample 20,Area Sample 1,Area Sample 2,Area Sample 3,Area Sample 4,Area Sample 5,Area Sample 6,Area Sample 7,Area Sample 8,Area Sample 9,Area Sample 10,Area Sample 11,Area Sample 12,Area Sample 13,Area Sample 14,Area Sample 15,Area Sample 16,Area Sample 17,Area Sample 18,Area Sample 19,Area Sample 20,#Peptides,#Unique,#Spec Sample 1,#Spec Sample 2,#Spec Sample 3,#Spec Sample 4,#Spec Sample 5,#Spec Sample 6,#Spec Sample 7,#Spec Sample 8,#Spec Sample 9,#Spec Sample 10,#Spec Sample 11,#Spec Sample 12,#Spec Sample 13,#Spec Sample 14,#Spec Sample 15,#Spec Sample 16,#Spec Sample 17,#Spec Sample 18,#Spec Sample 19,#Spec Sample 20,PTM,Avg. Mass,Description
6,38,KNOT_31230561,133.76,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,,1.06E5,,,,,,,,4.72E5,,,,,,,,,,,12,1,5,6,11,6,13,12,6,8,7,7,6,8,10,5,4,7,9,3,5,3,,96598,Chaperone protein ClpB
20,28,GROUPS_8089684,132.63,36,0,0,10,0,0,0,0,0,0,0,0,0,12,11,0,21,24,22,11,24,,,4.43E4,,,,,,,,,,2.19E6,1.59E6,,9.95E5,7.7E7,7.99E6,1.83E7,1.5E7,13,13,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,3,17,4,3,4,Carbamidomethylation; Oxidation (M),9898,hypothetical protein
30,31,GROUPS_11379296,110.30,37,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,19,37,10,20,20,,,,,,,,,,,,,1.71E5,5.83E5,,4.13E5,1.59E7,4.76E5,2.36E6,1.49E6,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,14,1,3,3,,8806,hypothetical protein
36,27,KNOT_27718298,109.49,58,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,16,32,32,14,22,,,,,,,,,,,,,,5.3E4,,1.4E5,3.73E6,1.08E6,4.53E5,2.21E6,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,10,4,2,4,Oxidation (M),13268,Bacterial actin-related protein
126,12,|#CONTAM#HBB_HUMAN|,104.74,58,0,0,0,0,0,0,12,0,0,7,58,0,0,0,0,0,0,0,0,0,,,,,,,3.31E4,,,4.1E4,2.05E6,,,,,,,,,,7,7,0,0,0,0,0,0,2,0,0,1,8,0,0,0,0,0,0,0,0,0,,15867,sp|#CONTAM#HBB_HUMAN|
28,23,KNOT_223875,104.43,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,19,11,6,6,,,,,,,,,,,,,,,,6.8E4,3.75E6,7.02E5,6.82E5,3.87E5,12,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,8,5,5,4,Oxidation (M),30338,Glyceraldehyde-3-phosphate dehydrogenase A
41,11,|#CONTAM#K1C15_SHEEP|,104.01,16,4,2,14,5,4,4,0,0,0,2,9,2,0,0,0,0,0,0,0,0,,,1.62E6,4.1E4,,,,,,,1.95E5,6.74E3,,,,,,,,,8,5,2,1,7,3,2,2,0,0,0,1,4,1,0,0,0,0,0,0,0,0,,48770,sp|#CONTAM#K1C15_SHEEP|
24,20,|#CONTAM#TRY1_BOVIN|,103.26,30,14,9,0,3,0,0,9,8,18,9,22,0,0,12,0,0,11,11,7,9,1.25E6,1.49E6,,,,,3.18E6,8.51E5,1.04E6,3.48E6,1.07E7,,,7.69E5,,,2.92E6,9.37E6,,2.31E6,12,5,2,2,0,1,0,0,1,1,2,1,5,0,0,2,0,0,5,4,2,2,Carbamidomethylation,25425,sp|#CONTAM#TRY1_BOVIN|
182,14,|#CONTAM#HBA_HUMAN|,103.26,36,0,0,0,0,0,0,0,0,0,6,36,0,0,0,0,0,0,0,0,0,,,,,,,,,,4.6E4,3.27E6,,,,,,,,,,5,5,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,,15126,sp|#CONTAM#HBA_HUMAN|
68,17,KNOT_3512560,102.89,17,0,0,2,7,2,2,0,2,0,0,0,3,0,2,0,2,5,2,2,2,,,,1.15E4,,,,0E0,,,,0E0,,,,,1.38E5,,,,7,5,0,0,1,3,1,1,0,2,0,0,0,1,0,1,0,1,2,1,1,1,,49117,ATP synthase subunit alpha
312,34,GROUPS_5807325,99.14,27,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,2.5E5,5.92E4,,,,,,,,,,,,,,3.1E6,,,,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,18179,Enolase
74,22,KNOT_16487597,93.92,10,1,0,1,4,1,1,0,0,0,0,0,0,0,1,0,3,3,1,3,1,1.57E4,,,,,,,,,,,,,,,8.1E5,8.36E5,,1.86E5,,6,4,1,0,1,2,1,1,0,0,0,0,0,0,0,1,0,2,2,1,2,1,,56187,ATP synthase subunit alpha
105,15,|#CONTAM#ANT3_HUMAN|,91.58,12,2,5,2,7,0,2,0,0,3,2,2,0,0,0,0,0,0,0,0,0,1.86E5,7.27E5,7.37E4,5.01E5,,6.41E4,,,4.77E3,3.64E4,1.06E4,,,,,,,,,,6,6,1,2,1,4,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Oxidation (M),52602,sp|#CONTAM#ANT3_HUMAN|
119,26,KNOT_28075297,90.94,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,4,6,3,,,,,,,,,,,,,,,,,9.42E5,,3.68E5,,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,2,1,Oxidation (M),34276,Elongation factor Tu
315,48,KNOT_8447633,86.11,22,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,5,5,,,1.08E5,,,,,,,,,,2.37E5,,,,,,6.69E5,1.24E6,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,Carbamidomethylation,15738,hypothetical protein
121,36,KNOT_200880,83.30,8,0,0,2,5,2,2,0,0,0,0,0,3,0,2,0,2,0,2,2,2,,,,,,,,,,,,4.43E4,,,,,,,,,3,1,0,0,1,2,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,,43400,ATP synthase subunit alpha
221,42,KNOT_1320045,83.02,10,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,,2.58E5,,,1.51E4,,,,,,,,,,,,3.41E6,,7.25E4,2.86E5,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,Oxidation (M),32207,Malate dehydrogenase
270,21,GROUPS_15990331,82.44,9,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,7,0,0,0,,,,,,,7.47E5,5.96E5,1.82E5,,,,,,,,0E0,,,,3,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,,41632,Chaperone protein HtpG
154,39,KNOT_28064778,81.97,13,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,4,3,3,1.38E5,,,,,,,,,,,,,,,,,,,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,1,1,Carbamidomethylation,28381,Elongation factor Tu
348,32,KNOT_33147833,78.92,13,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,4,0,0,0,,,,,,,,5.33E4,1.49E5,,3.15E4,,,,,,,,,,4,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,,38705,Chaperone protein HtpG
361,64,KNOT_5211704,78.01,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,4.37E3,,,,,,,,,,,,,,,,4.64E5,,,,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,,23366,Chaperone protein DnaK
885,72,GROUPS_13607089,76.00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,,,,,,,,,,,,,,,,,,,0E0,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,Carbamidomethylation,17720,hypothetical protein
8,90,KNOT_5052291,75.59,8,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,5,5,0,,,,,,,,,,,,,,,,,,0E0,,,4,1,8,9,10,10,24,6,6,4,6,9,6,4,0,0,1,0,0,1,1,0,Carbamidomethylation,25703,hypothetical protein
323,56,GROUPS_16197266,75.34,7,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,,,2.96E5,,,,,,,,,,1.83E4,,,,2.41E5,,,,5,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,,84219,Chaperone protein HtpG
509,54,GROUPS_14882260,75.23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,,,,,,,,,,,,,,,,,1.24E5,,,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,Oxidation (M),23886,Chaperone protein DnaK
309,196,GROUPS_13861468,74.24,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,15,15,12,0,,,,,,,,,,,,,,,,,7.29E5,7.44E5,,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,Carbamidomethylation,9012,hypothetical protein
118,25,GROUPS_10288427,74.16,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,8,8,3,,,,,,,,,,,,,3.16E4,,,,9.29E5,1.77E6,3.55E5,2.91E5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,2,1,Carbamidomethylation,21709,Tubulin-like protein CetZ
60,47,KNOT_11300851,73.54,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0E0,6.16E4,5.6E4,,,5.18E3,2.81E4,0E0,,,4.54E4,1.68E4,5.5E4,1.41E5,,,8.22E5,4.84E4,,1.38E5,12,12,1,1,2,0,0,1,2,1,0,0,1,1,1,1,0,0,2,2,0,1,Carbamidomethylation; Oxidation (M),409320,hypothetical protein
66,83,KNOT_185816,73.31,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1.92E2,,9.71E4,,1.41E4,,,3.92E5,,1.36E5,8.12E4,4.34E4,3.41E4,,,2.72E4,1.37E6,,,8.92E4,10,10,1,0,1,0,3,0,0,1,0,1,2,1,1,0,0,1,2,0,0,2,Oxidation (M),262531,hypothetical protein
32,252,KNOT_32064042,73.11,8,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,7,8,7,8,7,,,,,,,,,,,,,,,,,8.54E5,,,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,5,3,5,4,,13536,Bacterial actin-related protein
296,35,KNOT_14313593,72.39,42,0,16,32,16,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7.87E4,,,,,,,,,,3,1,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carbamidomethylation,8782,Photosystem I iron-sulfur center
306,46,KNOT_34367902,71.87,41,0,16,32,16,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0E0,,,,,,,,,,,,3,1,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,8798,Photosystem I iron-sulfur center
12,65,KNOT_7691208,71.40,5,2,2,2,2,2,2,5,5,2,2,2,2,0,0,0,0,0,0,0,0,7.59E5,8.52E5,1.7E6,3.38E5,5.31E4,0E0,3.21E5,4.82E5,3.29E4,6.09E5,4.3E5,5.07E3,,,,,,,,,4,2,6,6,4,2,2,3,9,11,4,4,3,3,0,0,0,0,0,0,0,0,,41550,hypothetical protein
29,216,GROUPS_4367623,70.63,10,4,0,0,0,0,0,0,0,0,0,6,0,4,4,0,4,4,4,4,4,1.46E6,,,,,,,,,,1.06E4,,,,,,,,,,5,2,1,0,0,0,0,0,0,0,0,0,1,0,5,2,0,2,4,3,5,4,,25027,Bacterial actin-related protein
139,53,GROUPS_15987855,70.21,18,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,0,10,4,3,4,,,,,,,,,,,,9.35E4,,1.52E5,,,3.32E6,,,2.51E5,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,1,1,1,,22737,Chromosome partition protein Smc
1728,143,KNOT_21661613,69.97,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,,,,,,,,,,,,,,,0E0,,,,,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Oxidation (M),32399,ATP synthase subunit alpha
898,71,KNOT_33556680,68.77,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,,,,,,,,,,,,,,,,3.54E5,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,19128,Chaperone protein DnaK
107,50,KNOT_691749,68.52,20,8,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,19,6,13,13,4.83E5,,,1.39E5,,,,,,,,,2.17E4,,,,2.72E5,,1.21E5,8.12E4,5,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,2,2,,15302,ATP synthase subunit beta
107,58,KNOT_15179785,68.52,35,14,0,0,14,0,0,0,0,0,0,0,0,10,0,0,0,34,11,24,24,4.83E5,,,1.39E5,,,,,,,,,2.17E4,,,,2.72E5,,1.21E5,8.12E4,5,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,2,2,,8282,ATP synthase subunit beta
33,132,KNOT_7434481,68.39,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,,,1.5E6,3.73E5,3.77E5,,,,,,,,,,,,,,,,4,2,3,1,6,5,2,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,,25808,tRNA pseudouridine synthase B
99,231,KNOT_10028674,67.98,9,1,0,1,0,2,0,1,0,2,0,2,0,0,0,0,0,3,0,1,1,0E0,,3.46E3,,7.03E5,,2.32E5,,2.53E6,,1.9E4,,,,,,2.24E5,,3.34E4,5.39E5,9,9,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,2,0,1,1,Oxidation (M),86861,DNA topoisomerase 1
25,79,KNOT_36608120,67.32,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.12E5,,,,,,,,,,,,,,,,,4,1,3,4,3,4,1,1,2,2,3,3,2,1,0,0,0,0,0,0,0,0,,216167,hypothetical protein
380,19,GROUPS_11678827,66.86,17,0,8,12,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.54E4,1.7E5,7.68E4,4.1E4,,,,,,,,,,,,,,,,3,3,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18164,C-phycocyanin beta chain
330,49,KNOT_1050080,66.53,7,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,9.86E4,,,1.01E4,,,,,,,,,,,,2.29E5,,,,5,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Carbamidomethylation,89728,Calcium-transporting ATPase 1
223,76,GROUPS_8286595,65.82,5,2,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,6.72E4,9.83E4,,,,,5.48E5,,,,,,,,,,,,,,5,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,,52158,Inosine-5'-monophosphate dehydrogenase
950,250,GROUPS_14681796,65.64,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,,,,,,,,,,,,,,,,,1.73E6,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,17771,Peptidyl-prolyl cis-trans isomerase A
148,37,|#CONTAM#KRHB4_HUMAN|,65.60,4,0,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,7.89E5,2.55E5,2.67E5,,,,,,,,,,,,,,,,4,1,0,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,64895,sp|#CONTAM#KRHB4_HUMAN|
31,506,GROUPS_5386514,65.19,12,12,12,10,12,10,10,12,12,12,12,10,10,0,0,0,0,0,0,0,0,2.1E5,3.44E5,,2.86E5,,,3.66E5,4.7E5,1.17E5,1.19E5,,,,,,,,,,,4,2,2,3,1,2,1,1,5,5,2,2,1,2,0,0,0,0,0,0,0,0,,8534,hypothetical protein
260,40,KNOT_6649992,64.98,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,,1.27E4,4.01E4,,,,,,,,,,6.16E4,,,3,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,Oxidation (M),102223,Calcium-transporting ATPase
91,116,GROUPS_13416604,64.59,17,0,0,7,7,0,7,0,0,0,0,0,0,7,0,0,7,17,6,7,7,,,1.87E5,2.67E5,,1.86E4,,,,,,,1.11E5,,,1.92E4,4.24E6,4.25E5,3.22E5,5.14E5,4,4,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,1,3,1,1,1,,13500,hypothetical protein
27,233,KNOT_632738,64.44,5,5,5,3,5,3,0,5,5,3,5,5,3,0,0,0,0,0,0,0,0,2.08E6,1.53E6,,2.26E6,,,6.2E5,3.12E6,,6.47E5,5.39E5,,,,,,,,,,3,1,5,5,1,2,1,0,3,5,1,3,1,1,0,0,0,0,0,0,0,0,,24487,hypothetical protein
394,363,|#CONTAM#ALDOA_RABIT|,61.34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,,,,,,,,,,,,,,,,,1.45E6,4.01E5,,,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,,38857,sp|#CONTAM#ALDOA_RABIT|
58,139,KNOT_4766005,60.34,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,7.94E6,9.35E6,5.75E6,6.75E6,,5.96E5,1.4E6,2.65E6,1.72E6,2.22E6,1.22E6,1E5,,,,,,,,,3,3,3,2,1,1,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,,39269,hypothetical protein
298,352,KNOT_32557517,58.88,15,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,14,14,0,0,,,,,,,,,,,,,8.21E4,,,,1.48E6,2.02E6,,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,,9109,hypothetical protein
50,173,KNOT_15363969,57.96,10,6,6,0,0,0,0,6,6,5,6,6,5,0,0,0,0,4,0,0,0,1.41E6,2.29E6,,,,,6.15E6,4.84E6,1.56E6,1.89E6,8.29E5,3.99E5,,,,,3.03E5,,,,4,4,2,2,0,0,0,0,3,4,1,3,3,1,0,0,0,0,1,0,0,0,,19836,hypothetical protein
84,198,KNOT_5390853,57.82,8,1,2,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,6.54E4,1.96E5,2.44E6,,,9.58E3,1.05E5,,1.33E4,,1.59E5,,,,,,5.58E5,1.81E5,,8.06E4,9,9,1,2,1,0,0,1,2,0,1,0,2,0,0,0,0,0,1,1,0,1,Oxidation (M),116123,Beta-barrel assembly-enhancing protease
19,235,GROUPS_15578728,57.33,10,5,5,4,4,4,4,4,5,4,9,4,4,0,0,0,0,0,0,0,5,,,,,,,,,,1.66E4,,,,,,,,,,1.47E5,3,1,5,3,5,5,3,5,1,5,1,4,2,1,0,0,0,0,0,0,0,1,,17967,hypothetical protein
233,566,KNOT_778544,57.11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,,,,,,,,,,,,,,,,,5E6,,,2.89E5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,,22260,ATP synthase subunit beta
