Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 586-TROCAS7-209-SMPCR_50%_GFFcom1,Area 586-TROCAS7-209-SMPCR_50%_GFFcom1,#Peptides,#Unique,#Spec 586-TROCAS7-209-SMPCR_50%_GFFcom1,PTM,Avg. Mass,Description
85,9049,KNOT_5975320_PROKKA_351888,22.34,2,2,1.37E6,1,1,1,Deamidation (NQ),39731,hypothetical protein
86,9050,GROUPS_11271757_PROKKA_350522,21.76,4,4,3.91E3,1,1,1,Carbamidomethylation,21266,hypothetical protein
46,8835,GROUPS_7859460_PROKKA_137648,21.28,6,6,1.6E5,1,1,1,,20150,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
46,9051,GROUPS_9982996_PROKKA_264997,21.28,6,6,1.6E5,1,1,1,,21072,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
88,9053,KNOT_30153867_PROKKA_802728,21.23,9,9,6.08E3,1,1,1,,10307,Adenosylhomocysteinase
48,8837,KNOT_13255557_PROKKA_579327,21.19,4,4,0E0,1,1,1,Carbamidomethylation; Oxidation (M); Deamidation (NQ),43851,Proline dehydrogenase 1
5,9060,KNOT_14918709_PROKKA_613145,21.12,2,2,2.53E5,1,1,6,,47861,hypothetical protein
67,4380,KNOT_11641451_PROKKA_540398,20.50,10,10,1.31E5,1,1,1,,8143,hypothetical protein
67,4381,KNOT_9832817_PROKKA_487619,20.50,4,4,1.31E5,1,1,1,,24050,hypothetical protein
91,9058,KNOT_12027749_PROKKA_552007,20.42,7,7,0E0,1,1,1,Oxidation (M); Deamidation (NQ),36738,hypothetical protein
68,9059,KNOT_37902575_PROKKA_902134,20.27,4,4,1.5E5,1,1,1,,23096,Arginine--tRNA ligase
49,8839,KNOT_788600_PROKKA_50604,20.26,2,2,0E0,1,1,1,Deamidation (NQ),119072,hypothetical protein
16,9061,KNOT_3817462_PROKKA_264274,20.17,5,5,1.03E5,1,1,2,,18971,hypothetical protein
93,6462,KNOT_27658974_PROKKA_785420,20.09,2,2,2.54E5,1,1,1,,47140,hypothetical protein
92,9062,KNOT_26957992_PROKKA_779915,20.05,1,1,3.81E3,1,1,1,Deamidation (NQ),144090,Chromosome partition protein Smc
