Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) H4_Dry_BSA,Coverage (%) H4_Dry_nospike,Coverage (%) H4_Wet_BSA,Coverage (%) H4_Wet_nospike,Coverage (%) H5_dry_BSA,Coverage (%) H5_Dry_nospike,Coverage (%) H5_Wet_BSA,Coverage (%) H5_Wet_nospike,Coverage (%) H6_Dry_BSA,Coverage (%) H6_Dry_nospike,Coverage (%) H6_Wet_BSA,Coverage (%) H6_Wet_nospike,Coverage (%) H4_Wet_BSA_smalldatabase,Area H4_Dry_BSA,Area H4_Dry_nospike,Area H4_Wet_BSA,Area H4_Wet_nospike,Area H5_dry_BSA,Area H5_Dry_nospike,Area H5_Wet_BSA,Area H5_Wet_nospike,Area H6_Dry_BSA,Area H6_Dry_nospike,Area H6_Wet_BSA,Area H6_Wet_nospike,Area H4_Wet_BSA_smalldatabase,#Peptides,#Unique,#Spec H4_Dry_BSA,#Spec H4_Dry_nospike,#Spec H4_Wet_BSA,#Spec H4_Wet_nospike,#Spec H5_dry_BSA,#Spec H5_Dry_nospike,#Spec H5_Wet_BSA,#Spec H5_Wet_nospike,#Spec H6_Dry_BSA,#Spec H6_Dry_nospike,#Spec H6_Wet_BSA,#Spec H6_Wet_nospike,#Spec H4_Wet_BSA_smalldatabase,PTM,Avg. Mass,Description
22,4,KNOT_17773385,29.90,7,0,0,0,0,0,2,0,0,0,0,0,5,0,,,,,,,,,,,,0E0,,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Oxidation (M),30905,hypothetical protein
434,285,GROUPS_13976109,29.46,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,0E0,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,101125,hypothetical protein
52,101,GROUPS_12964572,29.42,2,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,54931,hypothetical protein
247,26,KNOT_20185419,29.30,11,0,0,0,0,0,11,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,6611,hypothetical protein
247,31,GROUPS_11274392,29.30,10,0,0,0,0,0,10,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,8163,hypothetical protein
247,58,KNOT_1439870,29.30,4,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,19764,hypothetical protein
247,100,KNOT_14530569,29.30,19,0,0,0,0,0,19,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,3963,hypothetical protein
247,103,GROUPS_11348752,29.30,11,0,0,0,0,0,11,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,7367,hypothetical protein
247,107,GROUPS_4241194,29.30,7,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,11741,hypothetical protein
247,108,KNOT_8489713,29.30,5,0,0,0,0,0,5,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,13176,hypothetical protein
247,110,KNOT_10069164,29.30,4,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,19325,hypothetical protein
247,111,KNOT_10230974,29.30,4,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,20639,hypothetical protein
247,114,KNOT_21493071,29.30,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,51629,hypothetical protein
50,67,KNOT_8068023,28.19,7,0,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,17337,hypothetical protein
348,715,KNOT_16638568,28.10,2,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Oxidation (M),38255,hypothetical protein
131,68,KNOT_1539223,27.90,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Oxidation (M),81706,hypothetical protein
437,302,GROUPS_14873776,27.87,9,0,9,0,0,0,0,0,0,0,0,0,0,0,,0E0,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,16639,Flagellar L-ring protein
168,66,GROUPS_15691536,27.80,5,0,0,0,0,5,0,0,0,0,0,0,0,0,,,,,0E0,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,19849,hypothetical protein
94,755,GROUPS_7249055,27.65,3,0,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,0E0,,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,,32704,hypothetical protein
82,340,KNOT_8191012,27.59,11,0,3,8,0,0,0,0,0,0,0,0,0,0,,0E0,0E0,,,,,,,,,,,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),20932,hypothetical protein
492,792,KNOT_32328098,27.42,5,0,0,5,0,0,0,0,0,0,0,0,0,0,,,0E0,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,24590,hypothetical protein
29,32,GROUPS_6978484,27.33,28,0,0,14,0,0,0,0,0,0,14,0,0,0,,,0E0,,,,,,,0E0,,,,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,Oxidation (M),9601,hypothetical protein
86,415,GROUPS_4472726,27.27,6,0,0,0,0,0,0,0,0,3,0,3,0,0,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,17247,hypothetical protein
34,190,KNOT_1585236,27.23,2,0,1,0,0,0,0,0,0,1,0,0,0,0,,0E0,,,,,,,,,,,,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,,73260,Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1
85,396,KNOT_5446791,27.13,10,0,0,0,0,7,0,0,0,0,0,3,0,0,,,,,0E0,,,,,,,,,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,,20032,Na(+)/H(+) antiporter NhaA
44,22,GROUPS_13917959,27.11,4,0,1,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,0E0,,,,,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Carbamidomethylation,44056,hypothetical protein
274,303,KNOT_23156728,27.07,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,0E0,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,61663,Blue-light-activated protein
57,234,KNOT_18920677,26.69,2,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,59644,Magnesium and cobalt efflux protein CorC
75,133,KNOT_8211837,26.45,12,0,0,7,0,0,5,0,0,0,0,0,0,0,,,0E0,,,,,,,,,,,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,10862,hypothetical protein
442,335,KNOT_371832,26.45,3,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,0E0,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,37899,hypothetical protein
202,242,KNOT_834890,26.44,4,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,,0E0,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,21719,hypothetical protein
97,985,GROUPS_14024859,26.43,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0E0,,,,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,47504,hypothetical protein
347,711,KNOT_28375734,26.32,11,0,0,0,0,0,0,0,0,0,11,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Carbamidomethylation,11762,hypothetical protein
91,486,KNOT_2695365,26.28,1,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,,51239,Putative diacyglycerol O-acyltransferase
160,2,GROUPS_14577076,26.15,3,0,0,0,0,0,0,0,3,0,0,0,0,0,,,,,,,,0E0,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Carbamidomethylation,45230,hypothetical protein
33,174,GROUPS_15148857,26.14,3,0,0,0,0,0,1,0,0,0,2,0,0,0,,,,,,0E0,,,,0E0,,,,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,,71403,Penicillin-binding protein 2
70,745,KNOT_5571552,26.01,1,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,83279,Endonuclease YhcR
25,144,KNOT_31378012,25.84,3,0,0,1,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,0E0,,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,82365,ATP-dependent Clp protease ATP-binding subunit ClpA
43,16,GROUPS_7193407,25.70,11,0,0,0,0,5,0,0,0,0,0,6,0,0,,,,,0E0,,,,,,0E0,,,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,,23992,hypothetical protein
436,295,KNOT_22496138,25.65,2,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,65040,Phytochrome-like protein cph2
349,724,KNOT_14175618,25.59,15,0,0,0,0,0,0,0,0,0,15,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,9742,hypothetical protein
467,599,GROUPS_12242431,25.51,5,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,0E0,,,,,,,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Oxidation (M),16662,hypothetical protein
31,47,GROUPS_13895678,25.44,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0E0,,0E0,,,,,,,,,,,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,,70004,Polysialic acid transport protein KpsD
610,1314,GROUPS_12432222,25.41,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,0E0,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,25795,hypothetical protein
250,78,KNOT_354412,25.29,6,0,0,0,0,0,6,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,12619,hypothetical protein
251,99,GROUPS_7264979,25.08,2,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,0E0,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,52465,Proline iminopeptidase
477,699,GROUPS_6968019,24.93,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0E0,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,12736,hypothetical protein
248,49,GROUPS_13084675,24.80,5,0,0,0,0,0,5,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,16385,hypothetical protein
248,148,GROUPS_6849469,24.80,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,48096,Penicillin-binding protein 4*
656,2128,GROUPS_15185070,24.75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Oxidation (M),57396,hypothetical protein
158,208,GROUPS_15453336,24.69,4,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,15478,hypothetical protein
158,497,KNOT_11759523,24.69,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,45904,L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
451,398,KNOT_3139840,24.59,3,0,0,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,22338,2-oxoglutarate dehydrogenase E1 component
117,115,GROUPS_15809794,24.49,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,0E0,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,166478,hypothetical protein
286,376,KNOT_31532036,24.30,3,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,53747,hypothetical protein
658,2218,GROUPS_12813803,24.29,8,0,0,0,0,0,0,8,0,0,0,0,0,0,,,,,,,0E0,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,15462,30S ribosomal protein S16
36,272,KNOT_609418,24.24,1,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,0E0,0E0,,,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,Oxidation (M),107945,DNA polymerase I
388,1127,GROUPS_11562731,24.13,4,0,0,4,0,0,0,0,0,0,0,0,0,0,,,0E0,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,12886,hypothetical protein
388,2498,KNOT_5210459,24.13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0E0,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,59600,hypothetical protein
482,747,KNOT_8046392,24.05,6,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Oxidation (M),13783,hypothetical protein
443,337,GROUPS_9889923,23.99,4,0,4,0,0,0,0,0,0,0,0,0,0,0,,0E0,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,23420,hypothetical protein
486,779,KNOT_1499845,23.97,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0E0,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,33097,Mercuric reductase
445,350,KNOT_1535069,23.72,4,0,4,0,0,0,0,0,0,0,0,0,0,0,,0E0,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,17415,hypothetical protein
661,2465,GROUPS_15277335,23.64,3,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,0E0,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,22880,DNA primase
661,2551,GROUPS_15790411,23.64,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,0E0,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,34649,Mrr restriction system protein
267,243,KNOT_16974374,23.52,4,0,4,0,0,0,0,0,0,0,0,0,0,0,,0E0,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,22985,hypothetical protein
68,618,KNOT_1938567,23.49,8,6,0,0,0,0,0,0,2,0,0,0,0,0,0E0,,,,,,,0E0,,,,,,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,Carbamidomethylation,30187,hypothetical protein
517,874,KNOT_10552151,23.23,3,0,0,3,0,0,0,0,0,0,0,0,0,0,,,0E0,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,29399,tRNA pseudouridine synthase C
1,436,GROUPS_9959672,23.20,2,0,0,0,2,0,0,0,0,2,2,0,0,0,,,,0E0,,,,,,,,,,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,,27372,KipI antagonist
429,178,KNOT_5681723,23.15,8,0,0,0,0,0,8,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,8824,hypothetical protein
429,183,KNOT_31027973,23.15,3,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,22640,hypothetical protein
429,188,KNOT_8991296,23.15,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,40285,Multidrug resistance protein MdtA
129,48,KNOT_1493735,23.14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,75135,hypothetical protein
278,321,KNOT_12321108,23.10,3,0,0,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,46809,hypothetical protein
27,288,GROUPS_14273780,22.93,3,0,0,0,0,0,0,2,1,0,0,0,0,0,,,,,,,0E0,,,,,,,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,,50125,hypothetical protein
256,134,GROUPS_11299496,22.73,4,0,4,0,0,0,0,0,0,0,0,0,0,0,,0E0,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,18974,hypothetical protein
483,762,KNOT_14476984,22.70,2,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,41379,hypothetical protein
335,639,KNOT_6844938,22.62,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Oxidation (M),69463,putative ABC transporter ATP-binding protein
616,1520,KNOT_883380,22.59,5,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,0E0,,,,,,,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,25996,Putative quercetin 2 3-dioxygenase
660,2455,KNOT_3034663,22.56,5,0,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,0E0,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Oxidation (M),23796,hypothetical protein
140,125,KNOT_5558297,22.33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,59508,Acetolactate synthase large subunit
493,795,KNOT_1783844,22.28,27,0,0,0,0,0,0,0,0,0,0,27,0,0,,,,,,,,,,,0E0,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Oxidation (M),4880,hypothetical protein
457,510,KNOT_1982580,22.10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,32912,hypothetical protein
35,201,KNOT_5791827,22.09,2,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,,22187,Triosephosphate isomerase
448,360,KNOT_30644546,22.07,5,0,5,0,0,0,0,0,0,0,0,0,0,0,,0E0,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Oxidation (M),22376,hypothetical protein
255,132,KNOT_1555839,21.97,3,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,24524,hypothetical protein
255,324,GROUPS_11605729,21.97,3,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,19435,Ribosomal RNA small subunit methyltransferase F
255,336,KNOT_2272632,21.97,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,27854,Ribosomal RNA small subunit methyltransferase B
427,160,KNOT_1806784,21.95,6,0,0,0,0,0,0,0,6,0,0,0,0,0,,,,,,,,0E0,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,31931,Fructose dehydrogenase cytochrome subunit
599,1207,GROUPS_12913339,21.86,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0E0,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,55259,hypothetical protein
228,348,KNOT_5529448,21.85,7,0,0,0,0,0,0,0,0,7,0,0,0,0,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,8198,hypothetical protein
228,481,KNOT_26871780,21.85,14,0,0,0,0,0,0,0,0,14,0,0,0,0,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,3916,hypothetical protein
