Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
119,1799,GROUPS_12852008_PROKKA_505709,28.80,0,0,0,,13773,50S ribosomal protein L7/L12
119,1800,KNOT_4101971_PROKKA_282044,28.80,0,0,0,,14181,50S ribosomal protein L7/L12
119,1801,GROUPS_12994797_PROKKA_515598,28.80,0,0,0,,16235,DNA-directed RNA polymerase subunit beta
90,1810,KNOT_9939091_PROKKA_490532,27.70,0,0,0,,32372,hypothetical protein
222,1885,KNOT_4561407_PROKKA_308382,27.25,0,0,0,,8830,hypothetical protein
222,1886,GROUPS_10342848_PROKKA_299570,27.25,0,0,0,,14422,hypothetical protein
222,1887,KNOT_2556604_PROKKA_175524,27.25,0,0,0,,14574,hypothetical protein
11,1903,KNOT_12355027_PROKKA_561297,26.98,0,0,0,,16397,hypothetical protein
11,1897,GROUPS_8897004_PROKKA_199118,26.98,0,0,0,,12254,hypothetical protein
11,1918,KNOT_621064_PROKKA_39722,26.98,0,0,0,,32778,hypothetical protein
223,1906,KNOT_2033754_PROKKA_136896,26.47,0,0,0,,17233,Phenylacetate-coenzyme A ligase
29,1811,GROUPS_14440706_PROKKA_619092,26.44,0,0,0,,35022,hypothetical protein
135,1942,KNOT_2566952_PROKKA_176246,26.38,0,0,0,,13643,Translation initiation factor IF-3
116,1772,GROUPS_10531426_PROKKA_311341,26.36,0,0,0,,16725,hypothetical protein
116,1902,KNOT_3991532_PROKKA_275316,26.36,0,0,0,,11160,Cytochrome c-type biogenesis protein CcmE
116,1904,KNOT_1227668_PROKKA_80132,26.36,0,0,0,,15376,Cytochrome c-type biogenesis protein CcmE
116,1907,GROUPS_15179710_PROKKA_656997,26.36,0,0,0,,17207,2-hydroxy-3-oxopropionate reductase
116,1913,KNOT_8086943_PROKKA_433407,26.36,0,0,0,,26172,hypothetical protein
116,1916,KNOT_1748448_PROKKA_116583,26.36,0,0,0,,27592,Homoserine kinase
116,1831,KNOT_12025265_PROKKA_551941,26.36,0,0,0,,28631,Glutamyl-Q tRNA(Asp) synthetase
116,1919,KNOT_33207451_PROKKA_871046,26.36,0,0,0,,29893,Methionine synthase
116,1926,KNOT_24689532_PROKKA_759615,26.36,0,0,0,,44281,hypothetical protein
116,1978,KNOT_198271_PROKKA_12623,26.36,0,0,0,,112149,hypothetical protein
34,1774,GROUPS_14337818_PROKKA_613628,26.10,0,0,0,,34198,Zinc metalloprotease Rip1
47,1692,GROUPS_13269194_PROKKA_533605,26.02,0,0,0,,53653,hypothetical protein
224,1993,GROUPS_14280314_PROKKA_610715,25.92,0,0,0,,20644,Shikimate kinase
225,1927,GROUPS_12366198_PROKKA_448562,25.79,0,0,0,,17133,hypothetical protein
48,1976,KNOT_5879241_PROKKA_348517,25.74,0,0,0,,4178,hypothetical protein
151,1910,GROUPS_13999226_PROKKA_584820,25.72,0,0,0,,32682,hypothetical protein
228,1931,GROUPS_15121724_PROKKA_645933,25.69,0,0,0,,17446,Elongation factor G
226,1912,GROUPS_14046933_PROKKA_591742,25.35,0,0,0,,39280,Acetophenone carboxylase delta subunit
28,1971,KNOT_31699070_PROKKA_833359,25.34,0,0,0,,81799,hypothetical protein
70,1869,GROUPS_6451318_PROKKA_87552,25.30,0,0,0,,54628,hypothetical protein
230,1960,KNOT_25585261_PROKKA_768913,25.09,0,0,0,,15281,hypothetical protein
230,1964,KNOT_20750020_PROKKA_695190,25.09,0,0,0,,18841,4-hydroxy-tetrahydrodipicolinate synthase
239,2077,KNOT_26684064_PROKKA_777686,24.97,0,0,0,,61326,Oleate hydratase
229,1932,KNOT_22985309_PROKKA_740897,24.81,0,0,0,,8887,hypothetical protein
234,1956,KNOT_32573734_PROKKA_855652,24.75,0,0,0,,13938,hypothetical protein
231,1925,KNOT_18013274_PROKKA_658127,24.70,0,0,0,,24242,Uracil-DNA glycosylase
233,1930,GROUPS_15735616_PROKKA_693454,24.55,0,0,0,,49047,DNA topoisomerase 1
132,1837,GROUPS_14604798_PROKKA_627508,24.30,0,0,0,,31705,hypothetical protein
235,1958,KNOT_20669615_PROKKA_693991,24.28,0,0,0,,6894,50S ribosomal protein L14
235,1962,KNOT_10500477_PROKKA_506264,24.28,0,0,0,,10665,hypothetical protein
8,1967,KNOT_2469013_PROKKA_169116,24.00,0,0,0,,32981,Riboflavin transporter
241,1986,KNOT_30627136_PROKKA_805951,23.69,0,0,0,,88365,hypothetical protein
237,1965,KNOT_34471731_PROKKA_882955,23.57,0,0,0,,41378,hypothetical protein
137,1845,KNOT_17630698_PROKKA_653298,23.52,0,0,0,,52323,Signal recognition particle protein
137,1944,KNOT_1173074_PROKKA_76393,23.52,0,0,0,,10425,hypothetical protein
137,1945,KNOT_11802777_PROKKA_545354,23.52,0,0,0,,11006,hypothetical protein
137,1946,GROUPS_13662120_PROKKA_552446,23.52,0,0,0,,14005,hypothetical protein
137,1947,KNOT_5803664_PROKKA_346056,23.52,0,0,0,,14175,hypothetical protein
137,1948,KNOT_3918456_PROKKA_270889,23.52,0,0,0,,16603,Tuberculostearic acid methyltransferase UfaA1
137,1949,GROUPS_10053608_PROKKA_276567,23.52,0,0,0,,17277,hypothetical protein
137,1951,KNOT_8984816_PROKKA_465243,23.52,0,0,0,,20300,DnaA initiator-associating protein DiaA
137,1952,KNOT_30205733_PROKKA_803124,23.52,0,0,0,,20915,hypothetical protein
137,1954,KNOT_14827102_PROKKA_610944,23.52,0,0,0,,22332,hypothetical protein
137,1972,KNOT_32457275_PROKKA_851167,23.52,0,0,0,,36014,3'-5' exoribonuclease YhaM
137,1984,KNOT_4765438_PROKKA_313933,23.52,0,0,0,,45026,hypothetical protein
137,1995,GROUPS_1401081_PROKKA_14154,23.52,0,0,0,,54909,hypothetical protein
238,1943,KNOT_5337631_PROKKA_330941,23.50,0,0,0,,19407,hypothetical protein
247,2036,KNOT_579209_PROKKA_37077,23.50,0,0,0,,40784,hypothetical protein
59,2534,KNOT_16004940_PROKKA_635049,23.33,0,0,0,,56707,Bifunctional NAD(P)H-hydrate repair enzyme Nnr
242,1955,KNOT_35893062_PROKKA_892981,23.19,0,0,0,,19915,hypothetical protein
81,1706,KNOT_20527116_PROKKA_691958,23.19,0,0,0,,42434,L-2-hydroxyglutarate oxidase LhgO
243,1921,KNOT_1691807_PROKKA_112609,23.12,0,0,0,,56186,hypothetical protein
50,2032,KNOT_14422478_PROKKA_601484,23.12,0,0,0,,6298,hypothetical protein
66,1710,KNOT_1673788_PROKKA_111275,23.10,0,0,0,,27728,Methionine gamma-lyase
248,1929,KNOT_24336068_PROKKA_756067,23.04,0,0,0,,30440,Ditrans polycis-undecaprenyl-diphosphate synthase ((2E 6E)-farnesyl-diphosphate specific)
256,2038,KNOT_8949252_PROKKA_464293,22.82,0,0,0,,56941,Cyclic di-GMP phosphodiesterase Gmr
244,1975,KNOT_22421845_PROKKA_731782,22.77,0,0,0,,15298,hypothetical protein
245,1999,GROUPS_15340833_PROKKA_676182,22.70,0,0,0,,24955,putative oxidoreductase
245,2002,KNOT_1715547_PROKKA_114212,22.70,0,0,0,,31237,hypothetical protein
249,1983,GROUPS_205472_PROKKA_03425,22.65,0,0,0,,20503,hypothetical protein
52,1961,GROUPS_12914801_PROKKA_510436,22.65,0,0,0,,6757,hypothetical protein
120,1806,KNOT_2539655_PROKKA_174343,22.64,0,0,0,,44875,D-inositol-3-phosphate glycosyltransferase
16,1988,KNOT_31998876_PROKKA_840099,22.49,0,0,0,,15710,hypothetical protein
79,1824,KNOT_6783915_PROKKA_382010,22.45,0,0,0,,45487,hypothetical protein
250,1998,KNOT_31388104_PROKKA_825978,22.40,0,0,0,,11364,Antitoxin HigA1
250,2004,GROUPS_13879285_PROKKA_559526,22.40,0,0,0,,17362,hypothetical protein
250,2006,KNOT_11283103_PROKKA_529234,22.40,0,0,0,,19677,hypothetical protein
250,2010,GROUPS_11452748_PROKKA_386723,22.40,0,0,0,,24811,DNA polymerase III subunit tau
64,1763,KNOT_10580813_PROKKA_508643,22.32,0,0,0,,26459,hypothetical protein
251,1835,GROUPS_1607839_PROKKA_16566,22.17,0,0,0,,49967,Putative glycosyltransferase EpsE
122,2058,KNOT_10561181_PROKKA_508007,22.07,0,0,0,,12508,hypothetical protein
122,1809,GROUPS_11767933_PROKKA_413474,22.07,0,0,0,,21335,D-inositol 3-phosphate glycosyltransferase
122,2066,KNOT_2136453_PROKKA_144456,22.07,0,0,0,,16807,Inner membrane protein YiaW
122,1828,GROUPS_15192246_PROKKA_659039,22.07,0,0,0,,10871,Cell division protein FtsB
122,1802,KNOT_6086490_PROKKA_355745,22.07,0,0,0,,19370,hypothetical protein
122,2045,KNOT_526372_PROKKA_33767,22.07,0,0,0,,7539,hypothetical protein
122,2050,KNOT_2848735_PROKKA_196607,22.07,0,0,0,,9917,hypothetical protein
122,2051,KNOT_10296967_PROKKA_500317,22.07,0,0,0,,10464,hypothetical protein
122,2052,KNOT_2743795_PROKKA_189021,22.07,0,0,0,,10620,hypothetical protein
122,2055,KNOT_30768156_PROKKA_811731,22.07,0,0,0,,11466,hypothetical protein
122,2056,GROUPS_14839286_PROKKA_633440,22.07,0,0,0,,12902,hypothetical protein
122,2060,KNOT_466171_PROKKA_29993,22.07,0,0,0,,13843,Cell division protein FtsL
122,2061,GROUPS_12286963_PROKKA_439337,22.07,0,0,0,,13568,hypothetical protein
122,2062,KNOT_2159217_PROKKA_146113,22.07,0,0,0,,13771,hypothetical protein
122,2063,KNOT_9952724_PROKKA_490897,22.07,0,0,0,,15462,hypothetical protein
122,2065,KNOT_8537988_PROKKA_450087,22.07,0,0,0,,16437,hypothetical protein
122,2067,GROUPS_12701390_PROKKA_481959,22.07,0,0,0,,16475,hypothetical protein
122,2069,KNOT_10402622_PROKKA_503404,22.07,0,0,0,,18220,hypothetical protein
122,1818,GROUPS_12814620_PROKKA_500841,22.07,0,0,0,,22537,putative diguanylate cyclase YcdT
122,2070,KNOT_2313023_PROKKA_157520,22.07,0,0,0,,22954,hypothetical protein
122,2071,KNOT_14612558_PROKKA_605849,22.07,0,0,0,,23602,hypothetical protein
122,2075,GROUPS_15193340_PROKKA_659182,22.07,0,0,0,,29782,3-oxoacyl-[acyl-carrier-protein] reductase FabG
122,2088,GROUPS_14369909_PROKKA_615074,22.07,0,0,0,,55145,RNA polymerase sigma-54 factor
55,1823,KNOT_14478962_PROKKA_602745,22.06,0,0,0,,42485,Phosphate transport system permease protein PstC
4,1750,KNOT_89498_PROKKA_05702,21.96,0,0,0,,66965,hypothetical protein
252,2033,KNOT_29671059_PROKKA_799086,21.90,0,0,0,,12847,50S ribosomal protein L7/L12
157,2108,KNOT_24030762_PROKKA_752973,21.84,0,0,0,,27233,Taurine-binding periplasmic protein
158,2022,GROUPS_9835448_PROKKA_242944,21.83,0,0,0,,20209,hypothetical protein
121,2117,KNOT_74938_PROKKA_04786,21.77,0,0,0,,51355,hypothetical protein
254,1977,KNOT_2450780_PROKKA_167744,21.74,0,0,0,,29852,hypothetical protein
23,1764,KNOT_4686504_PROKKA_311802,21.54,0,0,0,,59338,Protease 4
123,2295,KNOT_16602521_PROKKA_641810,21.51,0,0,0,,53313,Threonine synthase
123,2255,GROUPS_14144580_PROKKA_602755,21.51,0,0,0,,17584,hypothetical protein
123,2270,KNOT_21941289_PROKKA_714759,21.51,0,0,0,,33300,hypothetical protein
123,2291,KNOT_25187195_PROKKA_765299,21.51,0,0,0,,46518,putative metabolite transport protein CsbC
255,2171,KNOT_33749769_PROKKA_876877,21.51,0,0,0,,40757,Riboflavin biosynthesis protein RibD
78,1690,GROUPS_9975791_PROKKA_263768,21.51,0,0,0,,45187,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
257,1957,KNOT_6337450_PROKKA_364876,21.44,0,0,0,,16681,hypothetical protein
260,2028,KNOT_3203789_PROKKA_221952,21.44,0,0,0,,12507,hypothetical protein
260,2040,KNOT_15728306_PROKKA_630443,21.44,0,0,0,,18401,hypothetical protein
115,1704,KNOT_15313118_PROKKA_622536,21.37,0,0,0,,32413,Outer membrane protein TolC
75,2176,KNOT_31466043_PROKKA_827691,21.37,0,0,0,,86306,Lon protease 2
94,2095,KNOT_17742360_PROKKA_654668,21.35,0,0,0,,21759,hypothetical protein
259,2017,GROUPS_14067386_PROKKA_594436,21.34,0,0,0,,20921,hypothetical protein
261,2286,KNOT_30643896_PROKKA_806807,21.19,0,0,0,,31407,Chemotaxis protein methyltransferase Cher2
271,2074,KNOT_17878991_PROKKA_656325,21.13,0,0,0,,20084,hypothetical protein
264,2041,KNOT_1332399_PROKKA_87306,21.12,0,0,0,,7169,hypothetical protein
264,2043,KNOT_5873364_PROKKA_348319,21.12,0,0,0,,7204,hypothetical protein
264,2068,KNOT_28860703_PROKKA_793235,21.12,0,0,0,,17796,Leucine-responsive regulatory protein
264,1839,KNOT_30762245_PROKKA_811593,21.12,0,0,0,,44061,hypothetical protein
56,1989,KNOT_15501748_PROKKA_626393,21.00,0,0,0,,23117,hypothetical protein
163,2092,KNOT_4440374_PROKKA_301879,20.99,0,0,0,,41176,hypothetical protein
266,2132,GROUPS_6430939_PROKKA_87236,20.99,0,0,0,,16464,hypothetical protein
270,2019,GROUPS_11304444_PROKKA_358305,20.94,0,0,0,,11669,hypothetical protein
117,1757,KNOT_150036_PROKKA_09513,20.94,0,0,0,,39333,Putative mycofactocin radical SAM maturase MftC
101,2277,KNOT_10979968_PROKKA_520071,20.90,0,0,0,,28682,hypothetical protein
267,1990,KNOT_13032864_PROKKA_575794,20.85,0,0,0,,19708,HTH-type transcriptional repressor RspR
124,1821,KNOT_23126566_PROKKA_743104,20.76,0,0,0,,45960,Nicotinamide-nucleotide amidohydrolase PncC
164,1980,KNOT_89938_PROKKA_05741,20.75,0,0,0,,27173,putative 6-phospho-beta-glucosidase
162,1849,KNOT_32659075_PROKKA_858485,20.72,0,0,0,,188851,hypothetical protein
274,2021,KNOT_31620333_PROKKA_831488,20.70,0,0,0,,21057,hypothetical protein
275,23371,GROUPS_13581682_PROKKA_543909,20.61,0,0,0,,21966,hypothetical protein
281,2078,KNOT_11256641_PROKKA_528407,20.49,0,0,0,,38000,Prephenate dehydrogenase
166,2138,KNOT_31321978_PROKKA_824454,20.32,0,0,0,,50694,hypothetical protein
280,2026,GROUPS_9918796_PROKKA_253071,20.24,0,0,0,,7611,hypothetical protein
280,2035,GROUPS_13474434_PROKKA_541074,20.24,0,0,0,,14741,hypothetical protein
280,2046,KNOT_11552920_PROKKA_537624,20.24,0,0,0,,18788,hypothetical protein
280,2047,KNOT_6333835_PROKKA_364763,20.24,0,0,0,,18796,hypothetical protein
280,2054,GROUPS_10253390_PROKKA_293490,20.24,0,0,0,,20520,hypothetical protein
279,2025,KNOT_9998383_PROKKA_492091,20.23,0,0,0,,52309,Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
118,1861,KNOT_25102102_PROKKA_764287,20.23,0,0,0,,66735,hypothetical protein
9,1747,KNOT_32832908_PROKKA_863240,20.17,0,0,0,,36935,hypothetical protein
283,2029,GROUPS_10345334_PROKKA_299724,20.16,0,0,0,,23527,hypothetical protein
126,1777,GROUPS_10335390_PROKKA_299120,20.11,0,0,0,,13479,hypothetical protein
