Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 16,Area Sample 16,#Peptides,#Unique,#Spec Sample 16,PTM,Avg. Mass,Description
24,11843,AM_AGSSY_2208903_1,17.96,3,3,3.33E6,1,1,1,,25812,AM_AGSSY_2208903_1
24,11844,AM_AGSSY_762992_1,17.96,2,2,3.33E6,1,1,1,,41551,AM_AGSSY_762992_1
24,11847,AM_AGSSY_518833_1,17.96,2,2,3.33E6,1,1,1,,46704,AM_AGSSY_518833_1
24,11848,AM_AGSSY_497408_1,17.96,2,2,3.33E6,1,1,1,,46885,AM_AGSSY_497408_1
14,11840,AM_AGSSY_4212395_1,17.92,9,9,2.98E3,1,1,1,,12318,AM_AGSSY_4212395_1
25,11845,AM_AGSSY_1160487_1,17.61,3,3,4.18E3,1,1,1,,33606,AM_AGSSY_1160487_1
28,11851,AM_AGSSY_663932_1,16.98,3,3,1.6E4,1,1,1,,41552,AM_AGSSY_663932_1
33,11857,AM_AGSSY_762202_1,15.57,2,2,0E0,1,1,1,,39673,AM_AGSSY_762202_1
15,11858,AM_AGSSY_164556_1,15.45,2,2,1.44E5,1,1,1,,61783,AM_AGSSY_164556_1
37,3175,AM_AGSSY_5783646_1,15.04,10,10,2.61E4,1,1,1,,6945,AM_AGSSY_5783646_1
37,3181,AM_AGSSY_4193094_1,15.04,5,5,2.61E4,1,1,1,,12088,AM_AGSSY_4193094_1
37,3187,AM_AGSSY_3124556_1,15.04,4,4,2.61E4,1,1,1,,18206,AM_AGSSY_3124556_1
37,3188,AM_AGSSY_3090742_1,15.04,4,4,2.61E4,1,1,1,,19730,AM_AGSSY_3090742_1
37,3193,AM_AGSSY_2491101_1,15.04,3,3,2.61E4,1,1,1,,23368,AM_AGSSY_2491101_1
