Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 13,Area Sample 13,#Peptides,#Unique,#Spec Sample 13,PTM,Avg. Mass,Description
45,9226,AM_AGSSY_35668_1,19.52,1,1,1.14E4,1,1,1,,96747,AM_AGSSY_35668_1
39,9201,AM_AGSSY_6032660_1,19.00,18,18,2.56E3,1,1,1,,6121,AM_AGSSY_6032660_1
40,9202,AM_AGSSY_4088455_1,18.88,11,11,0E0,1,1,1,,14191,AM_AGSSY_4088455_1
41,9204,AM_AGSSY_2213976_1,18.68,4,4,3.08E3,1,1,1,,24937,AM_AGSSY_2213976_1
21,9206,AM_AGSSY_4085711_1,18.55,8,8,1.47E4,1,1,1,,14355,AM_AGSSY_4085711_1
46,9227,AM_AGSSY_322781_1,18.46,1,1,6.9E3,1,1,1,,53552,AM_AGSSY_322781_1
43,9221,AM_AGSSY_3926161_1,18.13,8,8,2.04E4,1,1,1,Oxidation (M),14555,AM_AGSSY_3926161_1
17,1635,AM_AGSSY_405255_1,18.11,2,2,0E0,1,1,1,,49695,AM_AGSSY_405255_1
48,9229,AM_AGSSY_1240208_1,17.41,3,3,4.86E4,1,1,1,,32452,AM_AGSSY_1240208_1
51,9232,AM_AGSSY_836235_1,17.31,2,2,5.74E2,1,1,1,,39606,AM_AGSSY_836235_1
54,9235,AM_AGSSY_160582_1,17.25,1,1,0E0,1,1,1,Deamidation (NQ),64195,AM_AGSSY_160582_1
52,9233,AM_AGSSY_1216794_1,17.15,3,3,1.91E4,1,1,1,,32857,AM_AGSSY_1216794_1
56,9237,AM_AGSSY_3652308_1,16.98,6,6,9.05E2,1,1,1,,15645,AM_AGSSY_3652308_1
57,9238,AM_AGSSY_3927543_1,16.88,8,8,0E0,1,1,1,,14907,AM_AGSSY_3927543_1
58,9239,AM_AGSSY_60298_1,16.81,3,3,5.04E2,1,1,1,,81865,AM_AGSSY_60298_1
59,9240,AM_AGSSY_3291908_1,16.16,6,6,4.86E2,1,1,1,Deamidation (NQ),17118,AM_AGSSY_3291908_1
60,9241,AM_AGSSY_1253092_1,16.05,5,5,2.95E2,1,1,1,Deamidation (NQ),34680,AM_AGSSY_1253092_1
10,9247,AM_AGSSY_16156_1,15.78,1,1,4.18E3,1,1,2,,117468,AM_AGSSY_16156_1
11,8176,AM_AGSSY_1201984_1,15.48,4,4,4.18E3,1,1,1,,33886,AM_AGSSY_1201984_1
62,9244,AM_AGSSY_3299195_1,15.45,5,5,0E0,1,1,1,Deamidation (NQ),17580,AM_AGSSY_3299195_1
62,9245,AM_AGSSY_3300137_1,15.45,5,5,0E0,1,1,1,Deamidation (NQ),17552,AM_AGSSY_3300137_1
63,9248,AM_AGSSY_419718_1,15.32,2,2,5.01E2,1,1,1,,49509,AM_AGSSY_419718_1
66,4068,AM_AGSSY_5653265_1,15.10,9,9,3.07E5,1,1,1,,7225,AM_AGSSY_5653265_1
66,4072,AM_AGSSY_5461747_1,15.10,8,8,3.07E5,1,1,1,,8694,AM_AGSSY_5461747_1
66,4075,AM_AGSSY_5184382_1,15.10,8,8,3.07E5,1,1,1,,9422,AM_AGSSY_5184382_1
65,9254,AM_AGSSY_697423_1,15.08,2,2,6.46E3,1,1,1,,41401,AM_AGSSY_697423_1
13,9251,AM_AGSSY_1140534_1,15.02,3,3,1.39E5,1,1,1,,34118,AM_AGSSY_1140534_1
