Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-302-Bay,Coverage (%) Trocas7-306-Chav,Coverage (%) Trocas7-310-SMCP,Coverage (%) Trocas7-318-NMCP,Coverage (%) Trocas7-402-Bay,Coverage (%) Trocas7-406-Chav,Coverage (%) Trocas7-410-SMCP,Coverage (%) Trocas7-417-NMCP,Coverage (%) Trocas7-102-Bay,Coverage (%) Trocas7-106-Chav,Coverage (%) Trocas7-206-Chav,Coverage (%) Trocas7-110-SMCP,Coverage (%) Trocas7-126-NMCP,Coverage (%) Trocas7-202-Bay,Coverage (%) Trocas7-210-SMCP,Coverage (%) Trocas7-410-SMCP-DUP,Coverage (%) Trocas7-226-NMCP,Coverage (%) Trocas7-303-Bay,Coverage (%) Trocas7-310-SMCP-DUP,Coverage (%) Trocas7-102-Bay-DUP,Coverage (%) Trocas7-106-Chav-DUP,Coverage (%) Trocas7-302-Bay-DUP,Coverage (%) Trocas7-306-Chav-DUP,Coverage (%) Trocas7-503-Bay,Coverage (%) Trocas7-519-NMCP,Coverage (%) Trocas7-318-NMCP-DUP,Coverage (%) Trocas7-402-Bay-DUP,Coverage (%) Trocas7-406-Chav-DUP,Coverage (%) Trocas7-417-NMCP-DUP,Coverage (%) Trocas7-307-Chav,Coverage (%) Trocas7-311-SMCP,Coverage (%) Trocas7-319-NMCP,Coverage (%) Trocas7-507-Chav,Coverage (%) Trocas7-511-SMCP,Area Trocas7-302-Bay,Area Trocas7-306-Chav,Area Trocas7-310-SMCP,Area Trocas7-318-NMCP,Area Trocas7-402-Bay,Area Trocas7-406-Chav,Area Trocas7-410-SMCP,Area Trocas7-417-NMCP,Area Trocas7-102-Bay,Area Trocas7-106-Chav,Area Trocas7-206-Chav,Area Trocas7-110-SMCP,Area Trocas7-126-NMCP,Area Trocas7-202-Bay,Area Trocas7-210-SMCP,Area Trocas7-410-SMCP-DUP,Area Trocas7-226-NMCP,Area Trocas7-303-Bay,Area Trocas7-310-SMCP-DUP,Area Trocas7-102-Bay-DUP,Area Trocas7-106-Chav-DUP,Area Trocas7-302-Bay-DUP,Area Trocas7-306-Chav-DUP,Area Trocas7-503-Bay,Area Trocas7-519-NMCP,Area Trocas7-318-NMCP-DUP,Area Trocas7-402-Bay-DUP,Area Trocas7-406-Chav-DUP,Area Trocas7-417-NMCP-DUP,Area Trocas7-307-Chav,Area Trocas7-311-SMCP,Area Trocas7-319-NMCP,Area Trocas7-507-Chav,Area Trocas7-511-SMCP,#Peptides,#Unique,#Spec Trocas7-302-Bay,#Spec Trocas7-306-Chav,#Spec Trocas7-310-SMCP,#Spec Trocas7-318-NMCP,#Spec Trocas7-402-Bay,#Spec Trocas7-406-Chav,#Spec Trocas7-410-SMCP,#Spec Trocas7-417-NMCP,#Spec Trocas7-102-Bay,#Spec Trocas7-106-Chav,#Spec Trocas7-206-Chav,#Spec Trocas7-110-SMCP,#Spec Trocas7-126-NMCP,#Spec Trocas7-202-Bay,#Spec Trocas7-210-SMCP,#Spec Trocas7-410-SMCP-DUP,#Spec Trocas7-226-NMCP,#Spec Trocas7-303-Bay,#Spec Trocas7-310-SMCP-DUP,#Spec Trocas7-102-Bay-DUP,#Spec Trocas7-106-Chav-DUP,#Spec Trocas7-302-Bay-DUP,#Spec Trocas7-306-Chav-DUP,#Spec Trocas7-503-Bay,#Spec Trocas7-519-NMCP,#Spec Trocas7-318-NMCP-DUP,#Spec Trocas7-402-Bay-DUP,#Spec Trocas7-406-Chav-DUP,#Spec Trocas7-417-NMCP-DUP,#Spec Trocas7-307-Chav,#Spec Trocas7-311-SMCP,#Spec Trocas7-319-NMCP,#Spec Trocas7-507-Chav,#Spec Trocas7-511-SMCP,PTM,Avg. Mass,Description
33,2486,KNOT_24600144_PROKKA_758755,37.40,4,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,4,1,1,1,0,0,1,0,0,,3.96E5,2.35E5,3.3E5,8.65E4,1.56E5,,5.24E5,,,1.72E5,4.13E4,6.89E4,,,,,,3.82E5,,,,1.11E5,2.11E5,,9.06E4,8.5E4,4.34E5,2.96E5,,,2.29E5,,,2,2,0,1,1,1,1,1,0,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,1,0,2,1,2,2,0,0,1,0,0,Deamidation (NQ),109080,hypothetical protein
27,13455,GROUPS_4891588_PROKKA_56111,37.12,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,2,0,0,1.96E4,,,1.66E5,,,,,4.01E4,,,,,,8.05E4,,1.41E5,3.97E4,,1.8E4,2.94E4,1.64E4,,2.57E5,2.87E4,7.61E5,,,,4.35E4,6.08E4,3.31E5,,,2,2,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,1,2,0,1,1,2,0,1,1,3,0,0,0,1,2,5,0,0,,62789,hypothetical protein
34,13483,KNOT_28541062_PROKKA_791295,37.08,8,5,8,0,5,0,0,0,0,5,5,5,5,0,0,0,2,0,5,0,5,5,5,0,5,0,5,0,0,0,0,0,0,0,0,1.99E5,5.27E5,,6.64E5,,,,,1.23E5,3.81E5,2.77E5,1.07E5,,,,9.34E3,,9.71E4,,3.55E5,3.85E5,1.65E5,,1.9E5,,1.16E6,,,,,,,,,2,2,1,3,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,Carbamidomethylation; Deamidation (NQ),29580,hypothetical protein
89,13448,GROUPS_9925305_PROKKA_254397,36.72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.84E5,0E0,1.27E5,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,,16439,hypothetical protein
10,10771,GROUPS_14554567_PROKKA_625954,36.49,4,1,4,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4,1,1,1,1,1,1,1,1,1,3.37E6,6.39E6,1.87E5,1.04E7,1.84E6,2.69E6,4.57E6,3.43E6,4.11E6,5.76E6,5.32E6,1.92E6,4.61E6,5.67E6,5.84E6,8.23E6,4.31E6,4.76E6,4.59E6,5.59E6,7.81E6,,1.85E6,5.14E6,1.57E6,1.52E5,3.86E5,3.18E6,7.09E6,4.05E6,3.46E6,4.98E6,3.07E6,1.27E6,2,2,3,6,3,2,2,2,2,1,2,4,2,2,2,2,4,4,3,2,3,2,3,0,3,2,3,2,1,3,1,1,1,3,2,1,,55750,hypothetical protein
69,2482,GROUPS_7615389_PROKKA_131871,35.71,10,0,9,0,9,0,10,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,1.01E5,,3.48E4,,4.79E4,3.14E4,,,,,,,,,5.65E4,,,,,,,,,,,,7.48E4,,,,,,,2,2,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,8827,hypothetical protein
109,13435,GROUPS_12347113_PROKKA_446175,35.41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.41E4,1.12E5,9.22E4,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,,26751,hypothetical protein
178,3485,KNOT_1362399_PROKKA_89364,34.79,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1.09E7,,,0E0,,,,,,2.21E3,,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,,41577,N-acetyl-alpha-D-glucosaminyl L-malate synthase
349,13451,KNOT_21836334_PROKKA_712935,34.60,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.92E3,1.78E3,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,26632,hypothetical protein
179,4005,KNOT_11541267_PROKKA_537256,34.50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,2.74E5,,,,,,,,,,,,,,,0E0,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Deamidation (NQ),51320,putative sensor histidine kinase TcrY
35,4788,GROUPS_2663599_PROKKA_30233,34.41,4,0,3,0,3,0,3,3,0,3,0,3,0,0,3,3,3,3,0,0,0,0,0,0,3,3,0,4,4,3,0,0,0,0,0,,,,,,1.34E7,2.37E7,,,,,,,,5.23E7,,4.29E7,,,,,,,,2.13E7,,9.61E3,2.61E4,,,,,,,2,2,0,1,0,1,0,1,1,0,1,0,1,0,0,1,3,1,2,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,,27686,3-deoxy-manno-octulosonate cytidylyltransferase
103,13446,KNOT_1427476_PROKKA_94015,34.37,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,5,5,0,0,0,0,0,,,,,,,2.69E5,,,,,,,,,,7.69E4,,,2.09E2,,,,,,,,1.26E5,7.3E5,,,,,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,18048,hypothetical protein
953,13442,KNOT_4423_PROKKA_00308,34.28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2.38E4,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,23476,30S ribosomal protein S4
15,2469,KNOT_4594749_PROKKA_309394,34.06,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,3,3,3,3,3,0,3,6.65E5,1.98E5,2.1E5,5.89E5,1.09E5,5.22E3,1.13E5,1.33E5,1.46E5,1.16E5,,,5.92E4,1.4E5,3.43E5,1.68E5,6.75E5,5.17E5,3.09E5,,1.19E5,3.56E5,7.75E4,,,1.93E6,,2.74E3,2.75E5,2.72E5,7.07E4,1.58E5,,2.99E5,1,1,4,2,3,1,3,1,3,2,1,1,0,0,2,1,2,1,2,3,2,0,1,1,1,0,0,1,0,1,2,1,2,2,0,2,,36417,hypothetical protein
82,4800,KNOT_3543980_PROKKA_245883,33.82,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3.31E5,,1.13E5,,,,4.69E4,,,,,,,,,,,,,,,,,4.63E4,,,,3.9E3,,,,1.52E4,,,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,113905,Multidrug resistance protein MdtB
11,4826,KNOT_3651020_PROKKA_253264,33.77,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,5.82E7,6.64E7,,1.51E6,,,4.42E7,5.37E7,9.79E7,1.05E8,1.12E8,4.25E7,5.49E7,1.03E8,1.34E8,9.15E7,1.25E8,,,1.4E8,1.38E8,3.29E7,1.18E7,9.68E7,,5.47E1,1.84E7,1.45E5,1.22E8,,,,5.74E7,1.04E5,1,1,2,3,1,4,1,1,2,2,3,3,5,5,2,2,3,4,4,1,0,3,4,3,2,2,0,3,3,2,3,1,1,0,1,2,Deamidation (NQ),54224,hypothetical protein
266,13454,KNOT_22963408_PROKKA_740543,32.94,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,5.75E4,7.28E4,,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Deamidation (NQ),34120,hypothetical protein
40,13467,GROUPS_10718184_PROKKA_321345,31.86,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,5,0,5,0,0,0,0,5,5,0,5,5,5,9.77E4,,,,,,,,,,,,,,3.04E4,,8.86E4,,4.09E4,,,8.02E4,,9.04E4,,,,,4.86E4,1.38E4,,1.29E4,0E0,2.24E4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,5,0,0,0,0,1,1,0,1,1,1,,18649,50S ribosomal protein L9
98,13438,KNOT_37559605_PROKKA_899481,31.80,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0,5,0,0,0,0,0,,,,,,,2.72E3,,,,,,,,,,,,,7.06E4,,,6.57E3,,,7.99E5,,,3.87E3,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,,23239,hypothetical protein
141,13433,KNOT_31997929_PROKKA_840066,31.72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,1.84E5,,,,,,,,1.29E5,,,,,2.89E5,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,44671,hypothetical protein
141,13445,KNOT_15362894_PROKKA_623786,31.72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,1.84E5,,,,,,,,1.29E5,,,,,2.89E5,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,57426,Carbamoyl-phosphate synthase large chain
9,2546,KNOT_6755633_PROKKA_380884,31.43,4,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,5.82E7,6.64E7,3.33E7,1.35E8,1.91E7,2.75E7,4.42E7,5.37E7,9.79E7,1.05E8,2E4,4.22E7,,1.03E8,1.34E8,9.15E7,1.25E8,9.57E7,4.88E7,1.4E8,1.38E8,3.29E7,1.18E7,9.68E7,4.96E7,,4.44E6,,1.21E8,9.27E7,6.48E7,1.05E8,5.74E7,3.19E7,2,2,1,1,5,1,3,2,5,1,3,5,2,1,1,5,3,3,4,1,3,3,4,2,2,5,7,0,1,0,2,2,3,2,1,1,,46501,putative L-galactonate transporter
17,2492,KNOT_11443525_PROKKA_534238,30.99,5,5,0,5,5,0,0,0,5,5,5,5,5,5,5,5,0,0,5,5,5,5,0,0,0,0,5,0,0,5,5,5,5,5,5,2.82E5,,1.24E5,7.09E5,,,,3.4E5,1.38E6,1.32E6,2.45E6,1.12E6,3.84E5,3.84E5,9.83E5,,,6.47E5,1.69E5,1.59E6,1.52E6,,,,,2.48E4,,,3.8E5,2.45E5,5.88E5,1.42E6,5.93E5,1.03E5,1,1,1,0,1,1,0,0,0,1,2,2,3,3,2,2,2,0,0,2,2,3,2,0,0,0,0,2,0,0,2,1,2,2,2,1,,20159,Transcriptional repressor NrdR
339,13504,GROUPS_11309907_PROKKA_359563,30.27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,3.27E4,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,31208,hypothetical protein
339,13518,KNOT_18082746_PROKKA_658981,30.27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,3.27E4,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,10440,hypothetical protein
339,13520,GROUPS_11065209_PROKKA_342161,30.27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,3.27E4,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,16384,Nitrogen regulatory protein
112,15137,KNOT_23963147_PROKKA_752319,30.14,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,,1.68E4,9.64E3,,,,,,,,,,,,,,,,,,,,,,,3.49E4,,,,1.85E4,,0E0,,,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,,41851,Methylmalonyl-CoA mutase large subunit
301,13575,KNOT_32291046_PROKKA_846413,30.13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.72E4,3.77E4,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Deamidation (NQ),56152,hypothetical protein
