Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 2,Area Sample 2,#Peptides,#Unique,#Spec Sample 2,PTM,Avg. Mass,Description
10,53,AM_AGSSY_1146785_1,20.17,2,2,3.13E6,1,1,2,,34522,AM_AGSSY_1146785_1
16,55,AM_AGSSY_3785499_1,19.45,7,7,4.02E4,1,1,1,,14359,AM_AGSSY_3785499_1
21,56,AM_AGSSY_456190_1,19.40,2,2,8.81E4,1,1,1,,47028,AM_AGSSY_456190_1
33,58,AM_AGSSY_5616447_1,18.39,30,30,5.22E4,1,1,1,Deamidation (NQ),6928,AM_AGSSY_5616447_1
34,60,AM_AGSSY_3058139_1,18.14,5,5,1.07E4,1,1,1,,19952,AM_AGSSY_3058139_1
7,61,AM_AGSSY_714115_1,17.96,2,2,1.06E5,1,1,2,,41699,AM_AGSSY_714115_1
35,62,AM_AGSSY_3444126_1,17.78,7,7,1.58E4,1,1,1,,17549,AM_AGSSY_3444126_1
36,63,AM_AGSSY_2263052_1,17.63,5,5,3.8E0,1,1,1,,23965,AM_AGSSY_2263052_1
38,65,AM_AGSSY_4695145_1,17.31,8,8,4.73E3,1,1,1,,10640,AM_AGSSY_4695145_1
39,66,AM_AGSSY_2914067_1,17.12,6,6,1.06E3,1,1,1,,20080,AM_AGSSY_2914067_1
40,67,AM_AGSSY_3528721_1,17.07,7,7,1.07E4,1,1,1,,16257,AM_AGSSY_3528721_1
41,69,AM_AGSSY_2793978_1,17.04,8,8,2.02E4,1,1,1,Oxidation (M),21731,AM_AGSSY_2793978_1
19,21,AM_AGSSY_1553211_1,16.71,2,2,4.95E3,1,1,1,Oxidation (M),32327,AM_AGSSY_1553211_1
19,93,AM_AGSSY_2487650_1,16.71,3,3,4.95E3,1,1,1,Oxidation (M),24200,AM_AGSSY_2487650_1
19,94,AM_AGSSY_2458673_1,16.71,3,3,4.95E3,1,1,1,Oxidation (M),25053,AM_AGSSY_2458673_1
19,100,AM_AGSSY_1786900_1,16.71,2,2,4.95E3,1,1,1,Oxidation (M),30977,AM_AGSSY_1786900_1
44,74,AM_AGSSY_6042624_1,16.53,16,16,4.27E4,1,1,1,,5829,AM_AGSSY_6042624_1
44,75,AM_AGSSY_6016204_1,16.53,16,16,4.27E4,1,1,1,,6121,AM_AGSSY_6016204_1
44,76,AM_AGSSY_5906497_1,16.53,14,14,4.27E4,1,1,1,,6806,AM_AGSSY_5906497_1
44,77,AM_AGSSY_5886362_1,16.53,14,14,4.27E4,1,1,1,,6752,AM_AGSSY_5886362_1
44,78,AM_AGSSY_5439917_1,16.53,11,11,4.27E4,1,1,1,,8281,AM_AGSSY_5439917_1
44,79,AM_AGSSY_5001953_1,16.53,9,9,4.27E4,1,1,1,,9797,AM_AGSSY_5001953_1
3,80,AM_AGSSY_740826_1,16.38,3,3,4.05E4,1,1,3,,38259,AM_AGSSY_740826_1
25,92,AM_AGSSY_1198194_1,15.67,2,2,4.54E3,1,1,1,,35780,AM_AGSSY_1198194_1
48,84,AM_AGSSY_2845705_1,15.62,13,13,5.93E3,1,1,1,Oxidation (M),20264,AM_AGSSY_2845705_1
23,87,AM_AGSSY_66123_1,15.59,1,1,2.23E3,1,1,1,,83711,AM_AGSSY_66123_1
50,86,AM_AGSSY_3451279_1,15.41,7,7,1.87E3,1,1,1,,16854,AM_AGSSY_3451279_1
51,88,AM_AGSSY_4061239_1,15.25,7,7,1.39E4,1,1,1,,13742,AM_AGSSY_4061239_1
52,90,AM_AGSSY_3723542_1,15.21,9,9,3.96E3,1,1,1,,16192,AM_AGSSY_3723542_1
54,95,AM_AGSSY_4906796_1,15.03,15,15,6.83E4,1,1,1,,9837,AM_AGSSY_4906796_1
